"episode"	"plot"	"rating"	"season"	"title"
4	"While traveling in the TARDIS with Rory and Amy, the Doctor hears a knock on the TARDIS doors. Bewildered and no doubt curious, he answers, only to be presented with a mysterious box which carries a distress signal. Believing it to be from a fellow Time Lord, the cosmic nomad whisks himself and his companions outside the boundaries of the universe on what should be a rescue mission. But what everyone finds is a dark Junk-yard planet populated by the bizarre Auntie, Uncle and Nephew. Last and not least among the strange inhabitants is a mentally unstable woman that ...    "	9.1	6	"The Doctor's Wife"
5	"The Doctor, Amy and Rory arrive in a future Earth where a small group of humans operate a plant extracting highly dangerous chemicals. To minimize the danger to themselves, they create clones made of a plastic-like substance, 'gangers' (short for doppelganger) who do the actual work. While forming their clones however, the Earth is struck by massive solar flare activity that transfer the humans' emotions and memories in addition to their technical abilities. As they all try to deal with what has happened, the gangers are clearly no longer prepared to accept the ...    "	7.3	6	"The Rebel Flesh"
6	"As the dopplegangers - 'gangers' for short - fight their makers, both Doctors, the real one and his ganger, try to find a way to restore the power and get everyone off the island. Both Doctors claim to be the 100% real thing, something Amy can't quite grasp. Rory meanwhile is trying to find Jennie but when he locates her and her ganger, he can't tell them apart. Having selected one of them, they discover of a company secret forces their hand. He soon realizes he's made an error. There is another ganger in the group however.    "	7.5	6	"The Almost People"
7	"A member of The Doctor's team has been abducted and he will call in every favor and maybe even go to war to get them back.    "	9.2	6	"A Good Man Goes to War"
8	"In the desperate search for Melody Pond, the TARDIS crash lands in Thirties Berlin, as the time-travelling drama returns for the second half of the series shown earlier in the year. The Doctor comes face to face with the greatest war criminal in the Universe. And Hitler. Old friendships are tested to their limits as the Doctor suffers the ultimate betrayal and learns a harsh lesson in the cruelest warfare of all. As precious time ebbs away, the Doctor must teach his adversaries that time travel has responsibilities. And he must succeed before an almighty price is paid.    "	8.2	6	"Let's Kill Hitler"
9	"A young boy living in a tower block on a council estate sends out, unknowingly, a psychic distress call transmitted to the Doctor's 'psychic paper'. When the doctor and his associates eventually find the correct flat in the tower block, they are inadvertently sent by the boy into a doll house, where they are terrorized by life-size peg dolls, and are threatened with becoming peg dolls themselves.    "	7.2	6	"Night Terrors"
10	"Amy is trapped in a quarantine facility for victims of an alien plague which could kill the doctor in minutes if he were to catch it. So Rory is the only one who can go into the facility to save her but can he save her before she is killed by kindness?    "	8.6	6	"The Girl Who Waited"
11	"The Doctor, Amy and Rory become trapped in a hotel of horrors unable to escape and unable to find the TARDIS. The Doctor must save as many people as he can taking many twists and seeing his own worst fear.    "	8.2	6	"The God Complex"
12	"After traveling for 200 years and leaving messages for Amy Pond across time and space, the Doctor realizes his time is up, its time to settle down and accept his future at Lake Silencio. . . . . .But not before one last goodbye. The Doctor travels to England and visits Craig and Sophie, who are now happily married and struggling with parenthood. Not everything is well, as the Doctor soon finds himself miraculously working at a shop and battling Cybermen.    "	7.8	6	"Closing Time"
13	"April 22nd, 2011; 5:02pm. Having finally accepted his fate the Doctor travels to Lake Silencio for his final day. But one woman refuses to let time take its course.    "	8.7	6	"The Wedding of River Song"
0	"It's Christmas Eve, 1938, when Madge Arwell comes to the aid of an injured Spaceman Angel as she cycles home. He promises to repay her kindness - all she has to do is make a wish. Three years later, a devastated Madge escapes war-torn London with her two children for a dilapidated house in Dorset. She is crippled with grief at the news her husband has been lost over the channel, but determined to give Lily and Cyril the best Christmas ever. The Arwells are surprised to be greeted by a madcap caretaker whose mysterious Christmas gift leads them into a magical wintry ...    "	7.4	7	"The Doctor, the Widow and the Wardrobe"
1	"The Doctor, along with Amy and Rory who are headed for divorce, are kidnapped by the Daleks. They find themselves before the Dalek Parliament and the Doctor is quite surprised when he learns why: they want him to save them. A ship has crashed on the one place they will not go - the Asylum, where mad Daleks are sent to spend the rest of their days. Once there, they are assisted by the only survivor of the crash, Oswin, who has been there for a year awaiting rescue and making soufflés to pass the time. Which leads the Doctor to ask the most important question of all: ...    "	8.7	7	"Asylum of the Daleks"
2	"After a lengthy absence, the Doctor returns to Earth and scoops up up Amy and Rory for yet another adventure. He also manages somehow to include Rory's dad, Brian Williams. Those aren't the only travelers however as Queen Nefertiti and big-game hunter John Riddell are also on board. The TARDIS next reappears on board a large ship and the Doctor is delighted to find a cargo of prehistoric dinosaurs on board. Using the ship's computers, Amy determines that the ship's crew is nowhere to be found. There is someone on board however who has no intention of giving up his ...    "	7.6	7	"Dinosaurs on a Spaceship"
3	"The Doctor gets a Stetson (and a gun), and finds himself the reluctant Sheriff of a Western town under siege by a relentless cyborg who goes by the name of The Gunslinger. But who is he and what does he want?    "	7.5	7	"A Town Called Mercy"
4	"Earth is suddenly visited by millions of small black cubes of unknown origin. The Doctor joins Amy, Rory and Rory's father, Brian, to help discover what these cubes bring for humanity.    "	7.7	7	"The Power of Three"
5	"The Doctor takes Amy and Rory to New York, where the Weeping Angels are waiting for them. River Song returns.    "	9.1	7	"The Angels Take Manhattan"
6	"London, 1892. Snow is trying to evolve, feeding off of the nightmares of a little girl. But the Doctor has given up on saving the world. It is up to a young governess named Clara to convince him, with just one word, to save the day.    "	8.5	7	"The Snowmen"
7	"A chance phone call reunites the Doctor with Clara in the present day. A mysterious organization, lead by the evil Miss Kizlet, sends robots known as ""Spoonheads"" to steal the minds of people who use the company's WiFi. The Doctor and Clara must work together to find the location of the organization and destroy it before the whole world is trapped by the WiFi.    "	8.1	7	"The Bells of Saint John"
8	"Still not quite able to explain just who she is, the Doctor and Clara set off on their first adventure. He takes her to see the Rings of Akhaten and its famous pyramid. The residents of the 7 planets rotating around the same sun all believe the pyramid is the source of all life in the universe. There are quite a few visitors there for the Festival of Offering and Clara and helps a young girl, Merry, to have the confidence to perform an important ceremony to sooth and keep the Old God asleep. When Merry is drawn into the pyramid the Doctor and Clara go after her. When ...    "	7.4	7	"The Rings of Akhaten"
9	"The Doctor and Clara find themselves dealing with Cold War tensions when the TARDIS lands aboard a disabled Soviet ballistic submarine. The Doctor isn't the only alien being on board however - while engaged in undersea drilling, Professor Grisenko thought he'd found a mammoth and brought the creature on the boat encased in ice. It isn't a mammoth but an Ice Warrior, who has been lying dormant for 5000 years. He identifies himself as Grand Marshal Skaldak but when he cannot contact others of his kind, he assumes he is the last of his race. He now has every intention of...    "	7.3	7	"Cold War"
10	"The Doctor and Clara arrive at an old manor house in 1974 where Alec Palmer and Emma Grayling are investigating the existence of a ghost. Alec is a former army Major, now a psychologist, whilst Emma is an empathic psychic who can not only sense the presence of paranormal beings, but can sense their feelings as well. Palmer explains the house has been haunted for hundreds of years, and the ghost - a woman - is likely much older. Emma senses the ghost is very lonely, but the Doctor realises she's not a ghost at all, but a creature trapped in a zone where time moves much...    "	7.9	7	"Hide"
11	"The Doctor and Clara find themselves aboard a space freighter that has taken the TARDIS on-board as salvage. While the Doctor is ejected, Clara finds herself wandering through the vehicle exploring it's many - seemingly infinite - rooms. The Doctor re-enters the TARDIS accompanied by three workers from the salvage ship and they have but 30 minutes to find her. There are creatures in the depths of the TARDIS and the time travel machine will do whatever it takes to protect itself. There is a rupture in time however and the TARDIS is leaking recent history....which the ...    "	7.6	7	"Journey to the Centre of the TARDIS"
12	"The Doctor and Clara arrive in 19th century Yorkshire where moral crusader Mrs Gillyflower is recruiting beautiful people for her idyllic garden city. At the same time rigid corpses dyed red are piling up and the brother of one of the victims seeks help from Madame Vastra. She and her party travel to Yorkshire where they rescue Doctor Who and Clara from the clutches of Mrs Gillyflower. They discover that the woman is a fanatical exponent of ethnic cleansing who plans to do away with those who do not meet her standards - even her daughter Ada. The Doctor and his allies...    "	7.5	7	"The Crimson Horror"
13	"Hedgewick's World of Wonders was once the greatest theme park in the galaxy, but it's now the dilapidated home to a shabby showman, a chess playing dwarf and a dysfunctional army platoon. When the Doctor, Clara, Artie and Angie arrive, the last thing they expect is the re-emergence of one of the Doctor's oldest foes. The Cybermen are back!    "	7.5	7	"Nightmare in Silver"
14	"The Doctor's friends are being kidnapped, which leads him to the fields of Trenzalore, where his greatest secret will be revealed and Clara's mystery will be solved.    "	9.1	7	"The Name of the Doctor"
1	"When the newly-regenerated doctor arrives in Victorian London, he finds a dinosaur rampant in the Thames and a spate of deadly spontaneous combustions.    "	8.0	8	"Deep Breath"
2	"The Doctor and Clara find themselves inside of a supposedly good Dalek.    "	7.8	8	"Into the Dalek"
3	"In Sherwood Forest, the Doctor uncovers a sinister alien plot and forms an alliance with Robin Hood. With Nottingham at stake, the Doctor must decide who is real and who is fake.    "	7.2	8	"Robot of Sherwood"
4	"When ghosts of past and future crowd into their lives, The Doctor and Clara are thrown into an adventure that takes them to the very end of the universe.    "	9.0	8	"Listen"
5	"The Doctor and Clara must break into the most secure bank in the universe.    "	8.1	8	"Time Heist"
6	"The terrifying Skovox Blitzer is ready to destroy all humanity - but worse, and any second now, Danny Pink and the Doctor are going to meet.    "	7.5	8	"The Caretaker"
7	"In the near future, the Doctor and Clara find themselves on a space shuttle making a suicide mission to the Moon. Crash-landing on the lunar surface they find the most terrible things.    "	7.1	8	"Kill the Moon"
8	"On the most beautiful train in history, speeding amongst the stars of the future, a deadly and immortal creature is stalking the passengers.    "	8.6	8	"Mummy on the Orient Express"
9	"A problem happens with the Tardis, trapping the Doctor inside and leaving Clara to fend for herself against a two dimensional enemy.    "	8.5	8	"Flatline"
10	"One morning in London, and every city and town in the world, the human race wakes up to the most surprising invasion yet: the trees have moved back in. Everywhere, in every land, a forest has grown and taken back the Earth.    "	6.2	8	"In the Forest of the Night"
11	"In the mysterious world of the Nethersphere, plans have been drawn. Old friends and old enemies manoeuvre around the Doctor, and an impossible choice is looming over him.    "	8.8	8	"Dark Water"
12	"With Cybermen on the streets of London, old friends unite against old enemies and the Doctor takes to the air in a startling new role. As the Doctor faces his greatest challenge, sacrifices must be made before the day is won.    "	8.0	8	"Death in Heaven"
0	"The Doctor and Clara face their Last Christmas. Trapped on an Arctic base, under attack from terrifying creatures, who are you going to call? Santa Claus!    "	8.4	9	"Last Christmas"
1	"When the skies of Earth are frozen by a mysterious alien force, Clara needs her friend, the Doctor. But where is he and what is he hiding from?    "	8.6	9	"The Magician's Apprentice"
2	"Trapped and alone in a terrifying Dalek city, the Doctor is at the heart of an evil Empire; no sonic, no TARDIS, nobody to help. With his greatest temptation before him, can the Doctor resist? And will there be mercy?    "	8.6	9	"The Witch's Familiar"
3	"Under a lake a gleaming black spaceship is recovered but there is nothing inside. When the base crew start dying, they discover that ghosts are real. The Doctor and Clara arrive to find the base under siege and the Doctor discovers that this is more than a ghost story.    "	8.4	9	"Under the Lake"
4	"In a town that never was, the Doctor and his friends are being stalked by a mysterious figure. With the past and future in the balance, can the Doctor stop the evil Fisher King? And more importantly, who composed Beethoven's 5th.    "	8.2	9	"Before the Flood"
5	"In a Viking village, a girl named Ashildr is about to make a desperate mistake. The Mire are the deadliest mercenaries in the galaxy, famed for showing no mercy and Ashildr has just declared war on them. The Doctor and Clara have 12 hours to turn a peaceful village into strong fighters, ready for the deadly Mire.    "	7.8	9	"The Girl Who Died"
6	"England, 1651. A deadly highwayman known only as 'The Knightmare' plagues the dark streets of London, his fire-breathing accomplice by his side. There's something clearly more than human here, and that includes the loot as much as the outlaws. Who are these creatures, and are they enemies to be fought, or friends who might possibly save the Doctor from certain doom on the gallows?    "	7.8	9	"The Woman Who Lived"
7	"The fragile peace between the Humans and the Zygons is on a knife edge. Tensions run high as factions within the Zygon community seek to incite violent action against Humans. Called in by UNIT, the Doctor and Clara fight to bring the situation under control. But one question remains: Where on Earth is Osgood?    "	8.0	9	"The Zygon Invasion"
8	"With the Zygons invading England, and UNIT neutralized, the Doctor stands alone to stop the Zygons from taking over the entire planet. But how can he stop the Zygons? And how can he save his friends?    "	8.7	9	"The Zygon Inversion"
9	"Vision recovered from the wreckage of Le Verrier Space Station shows how the Doctor and Clara became entangled in a rescue mission. As the footage plays out, a horrifying secret is uncovered.    "	6.1	9	"Sleep No More"
10	"The Doctor and Clara are called back to earth when Rigsy discovers a strange tattoo on the back of his neck that appears to be counting down to zero. Their investigation leads them to a hidden street in the middle of London, the discovery that Rigsy has been issued a death sentence, and one of them facing the choice of having to make the ultimate sacrifice; to face the Raven!    "	8.7	9	"Face the Raven"
11	"Trapped in a world unlike any other he has seen, the Doctor faces the greatest challenge of his many lives. One final test. And he must face it alone...    "	9.6	9	"Heaven Sent"
12	"If you took everything from him, betrayed him, trapped him, and broke both his hearts... how far might the Doctor go? Returning to Gallifrey, the Doctor faces the Time Lords in a struggle that will take him to the end of time itself. Who is the Hybrid? And what is the Doctor's confession?    "	8.9	9	"Hell Bent"
13	"When a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Song's squad and hurled into a chase across the galaxy.    "	8.6	9	"The Husbands of River Song"
0	"In New York, with brain-swapping aliens poised to attack, the Doctor and Nardole link up with an investigative reporter and a mysterious masked superhero known only as the Ghost. Can the Doctor save Manhattan? And what will be revealed when we see behind the mask?    "	7.6	10	"The Return of Doctor Mysterio"
1	"The Doctor and Nardole team up with a university student to take down a sinister life-mimicking alien.    "	8.1	10	"The Pilot"
2	"In the far future, at the edge of the galaxy, there is a gleaming, perfect city. This brand new human settlement is said to hold the secret of human happiness - but the only smiles the Doctor and Bill can find are on a pile of grinning skulls. Something is alive in the walls, and the emojibots are watching from the shadows, as the Doctor and Bill try to unravel a terrifying mystery...    "	7.3	10	"Smile"
3	"The Doctor and Bill visit London during the last of the River Thames frost fairs in February 1814. They soon discover that there is something under the ice which is causing people to disappear.    "	7.5	10	"Thin Ice"
4	"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong.    "	7.7	10	"Knock Knock"
5	"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them.    "	8.3	10	"Oxygen"
6	"The Haereticum holds an ancient book known only as The Veritas. Throughout history, anyone who has ever read it has immediately taken their own life. When a new translation is online, spreading danger, the Vatican appeals to the Doctor for help. Will he read The Veritas? But can even the Doctor survive the ultimate truth?    "	8.6	10	"Extremis"
7	"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor.    "	7.9	10	"The Pyramid at the End of the World"
8	"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost.    "	7.4	10	"The Lie of the Land"
9	"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881.    "	7.3	10	"Empress of Mars"
10	"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world.    "	7.2	10	"The Eaters of Light"
11	"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?    "	9.3	10	"World Enough and Time"
12	"The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.    "	9.0	10	"The Doctor Falls"
